productId,类别,questionId,questions
1505732,美容彩妆,54532269,是真的吗
1617542,美容彩妆,20372295,有没有包装盒啊
1432088,美容彩妆,27841596,很多人打开就断了呢看着好短啊不想买了
1235397,美容彩妆,27153048,这个可以直接当成纸膜湿敷吗
1350256,美容彩妆,24578152,过敏皮肤能用吗
1429200,美容彩妆,22483707,有包装盒和礼品袋吗
1624814,美容彩妆,22841665,你们都用的什么刷子我用松毛刷好飞粉啊
1353385,美容彩妆,28514540,孕妇可以使用吗
1353385,美容彩妆,65026830,一瓶可以用多久和芙丝丽芳那个性价比更高
1537068,美容彩妆,57818693,一号会很白吗
1350256,美容彩妆,52688940,亲们有没有遇到这种情况用了几天脸有点发红然后有疙瘩想问一下算是过敏么
1330104,美容彩妆,21211362,是正品但不适合我谁要低价出
1428980,美容彩妆,56515147,金属瓶身
1426000,美容彩妆,15097472,快递大概多久到啊
1426046,美容彩妆,51004127,这款香水有外包装吗送人用的
1426214,美容彩妆,86329741,朋友生日送合适吗
1429712,美容彩妆,74843909,是发廊发胶的味道
1429561,美容彩妆,49319515,一般物流多久能送到
1557985,美容彩妆,61074954,有电流吗
1624804,美容彩妆,17900343,亲们大家用着感觉是正品吗
1444336,美容彩妆,20907905,这款留香时间多久啊
1330104,美容彩妆,62044050,给女朋友买22岁用这个可以么
1541661,美容彩妆,17528958,涂爽肤水乳液精华那些就可以直接用了是吗
1600076,美容彩妆,22545556,有香味吗
1615017,美容彩妆,13534082,黄皮适合哪个色号
1459264,美容彩妆,56244306,有没有礼盒要送朋友
1353385,美容彩妆,28219415,孕妇可以用吗
1482313,美容彩妆,71667817,是正品吗辣鼻子不
1606365,美容彩妆,13735033,亲们这款色号属于什么色啊
1508348,美容彩妆,24254902,这个东西怎么清洗
1583534,美容彩妆,83814975,大家的盒子里有说明书吗我的就空空一瓶粉底
1624587,美容彩妆,16177400,隔离还是粉底
1110326,美容彩妆,22406079,"对细纹有用不
"
1400984,美容彩妆,26624126,有没替换装啊这款容易脱妆不敷粉不
1330104,美容彩妆,30542301,亲们你们收到的满瓶吗我的怎么才半瓶多一点呢
1317419,美容彩妆,16806412,日期在哪怎么没找到
1538016,美容彩妆,14723585,需要精华什么的吗
1429047,美容彩妆,62401988,看到评论说有的会漏出来你们的会漏吗不是说没有盖子
1350256,美容彩妆,57302892,水的香气好像沐浴露加了水的味道
1428772,美容彩妆,29148971,没电了怎么办要换什么样的电池
1604726,美容彩妆,18332887,501什么时间到货
1505732,美容彩妆,23799328,请问有包装袋吗
1573169,美容彩妆,53868067,开盖后多久有效
1614992,美容彩妆,88331897,24克的量只有收到货时露出来的那点尖头头能使用吗
1424823,美容彩妆,56455093,黑眼圈挺严重的能遮住吗
1344121,美容彩妆,54993937,这个生产日期怎么看
1231949,美容彩妆,22373795,这个可以和小黑瓶一起用吗
1410191,美容彩妆,61715883,敏感肌可以用吗
1263134,美容彩妆,83581573,?欧阳娜娜ThursdayPlantation农庄茶树祛痘凝胶和这个对比求大神
1604726,美容彩妆,83316629,正品吗
1426014,美容彩妆,47834860,闻起来像街香么
1326464,美容彩妆,46088156,请问从左到右依次是什么求解答
1330347,美容彩妆,59422424,修复效果怎么样
13073,美容彩妆,15260317,洗完就不需要再用洗面奶洗了
1330102,美容彩妆,62297077,我上一次买的水颜色是乳白色的这次是透明的完全不一样大家遇到这样的情况吗
1617542,美容彩妆,19643260,是正品吗
1472223,美容彩妆,36868019,夏天出很多汗会不会浮粉
1323205,美容彩妆,52770816,这到底是透明质酸还是玻尿酸
1606292,美容彩妆,30190963,21号白色和21号粉色有什么区别
1437936,美容彩妆,28679461,这款滋润度怎么样
1454124,美容彩妆,46811121,要多久
1617268,美容彩妆,54182570,收到的口红盒子新吗可以送人吗
1600046,美容彩妆,29389884,小姐姐这个散粉的包装上的生产日期是什么时候的啊
1426039,美容彩妆,24099680,香水是正品嗎
1624466,美容彩妆,13814126,黄皮肤脸色暗用哪个色
1368869,美容彩妆,27393341,可以和壬二酸一起用吗
1353385,美容彩妆,30273162,我买的为什么扫码扫不出来是正品吗
1605034,美容彩妆,27486032,怎么查真伪啊
1454929,美容彩妆,16370000,是正品吗289元100ml
1606292,美容彩妆,31647327,暗沉吗
1460852,美容彩妆,60318410,小仙女们自己在盒子里加一个小粉扑放得下吗
1465010,美容彩妆,18408942,保湿吗会不会浮粉这个很重要
1353385,美容彩妆,16775482,小姐姐们有没有用过芙丽芳丝的他俩有啥区别咩哪个更好用一些
1229364,美容彩妆,65460461,这款BB涂了还要在涂定妆粉来定妆吗
1326464,美容彩妆,30545017,是正品吗对比了一下在某宝旗舰店买的瓶子上面字体不一样
1578740,美容彩妆,25649327,我的为什么闻起来有点冰激凌加肥皂味
140983,美容彩妆,17910945,为什么比淘宝旗舰店便宜这么多
1353385,美容彩妆,65175505,我用她们家spf45这款防晒可以用她家这款洁面卸掉吗
1624935,美容彩妆,25518071,这款是什么颜色
1426458,美容彩妆,28423318,麻烦问一下多少钱入手的
1541313,美容彩妆,20809751,这个应该不是日版的吧听说日版没有英语的
1330102,美容彩妆,21536260,兰蔻不是法国品牌吗为什么包装上原产地写的是日本
1465074,美容彩妆,14565962,这个到底是妆前乳还是隔离啊
13073,美容彩妆,55582318,我用了脸上肿起疙瘩不知道是不是过敏了
1444336,美容彩妆,55877288,请问一下是这款香水浅粉色的那款吗
1426473,美容彩妆,58419339,香味能持续多久
1286014,美容彩妆,30480338,这个去脂肪粒的怎么使用呢
1428772,美容彩妆,21206565,我关键是想去黑眼圈亲们觉得对黑眼圈有用吗
1606292,美容彩妆,21964121,哪个色号最白没有客服的
1329665,美容彩妆,68081736,去闭口鼻子白头可有效果
1508348,美容彩妆,20280954,这个用完毛孔会大吗
1600076,美容彩妆,23972120,999适合黄皮吗
1567033,美容彩妆,26318083,涂完还要涂隔离霜吗
1353385,美容彩妆,55668192,只用小金甁不卸妆直接用这个可以吗
1588979,美容彩妆,62876075,001色号有货吗
1329665,美容彩妆,61171630,嘴里及下巴的小粉刺闭口能去吗
1444439,美容彩妆,58927944,这个色号是不是2C0啊
1350256,美容彩妆,19552922,夏天用粘吗
1430067,美容彩妆,17531717,有包装袋吗
1429291,美容彩妆,57384097,这个味道好味吗
1451499,美容彩妆,30477669,大家多少钱入的谢谢
1508348,美容彩妆,19348742,请问你们的快递包装是标有网易考拉还是就是普通的那种盒子啊
1350256,美容彩妆,78679190,先水后乳
1430067,美容彩妆,16544594,是正品不
1286014,美容彩妆,17658664,10几年的脂肪粒能去掉吗
1424820,美容彩妆,26629538,闷逗吗
1426114,美容彩妆,59642457,是正品吗
1583704,美容彩妆,16501144,这个就是资生堂的心机隔离吗还是就是妆前乳
12688,美容彩妆,67996625,这款是不是跟素颜霜一样尼只是白天用的尼
1426116,美容彩妆,58596260,皮肤偏黄适合这个吗
1466974,美容彩妆,56943281,当秋冬防晒可以吗
1330333,美容彩妆,38333364,是正品不有防伪吗
1330104,美容彩妆,83739875,请问小姐姐们都是多少钱买的呀
1465010,美容彩妆,55558537,油皮适合吗
1606292,美容彩妆,20550308,快递大概几天可以到
1318198,美容彩妆,47962653,这个可以当做平时的爽肤水来用么敷脸的话是洗完脸直接敷再用水乳其他的护肤品吗
1329665,美容彩妆,23628496,洁使用方法是怎么样呢
1350256,美容彩妆,23974099,敏感肌可以用吗
1344121,美容彩妆,19896039,能瘦咬肌吗
1426071,美容彩妆,23031926,怎么没看到客服在哪儿呢
1330104,美容彩妆,56519677,我的刚到货包装竟然是被人打开过的也没有防伪标识感觉很不好
1460852,美容彩妆,51251680,黄皮可以用么
1488134,美容彩妆,39004083,高光效果怎么样
1430113,美容彩妆,26854887,正品吗
1350256,美容彩妆,52578624,孕妇可以用吗
1583536,美容彩妆,19437613,有人收到有压嘴的吗
1428782,美容彩妆,29230101,留香时间能有三天吗
1231949,美容彩妆,19059998,角质层薄脸总发热泛红可以用么
1583534,美容彩妆,13909522,我不白有点黄1w1可以用吗会假白吗
1491049,美容彩妆,27998648,这个怎么连接网络呢
1344121,美容彩妆,52615705,去黑头吗
1429229,美容彩妆,80014445,双十一50块优惠券哪里搞
1278664,美容彩妆,61568302,用dw的话黑的好还是白的好混油t区油
1457108,美容彩妆,56736908,几天到
1350256,美容彩妆,58955523,这款秋天用会不会太干了
1539992,美容彩妆,65136838,是送货上门的吗还是放到柜子里
1286014,美容彩妆,17139820,你们用这个黏吗我得超级黏都睁不开眼
1353385,美容彩妆,54988605,长痘痘能用这款氨基酸吗
1428772,美容彩妆,67130058,布袋是什么颜色呢
1559669,美容彩妆,22990731,这个能保修吗怎么操作呢
1606292,美容彩妆,14565523,这个到底是气垫还是粉饼怎么感觉有好多不一样的答案
1263740,美容彩妆,52851868,为什么有那么浓的香味熏的很你们的有么
1326464,美容彩妆,61189222,里面有洗面奶吗
1616143,美容彩妆,88009508,是郑州无尾熊电子商务发的是真的吗
1350256,美容彩妆,18370477,敏感肌能用吗
1229364,美容彩妆,52147259,会不会很厚重
1426456,美容彩妆,47175200,有没有手提袋送
1624610,美容彩妆,17185284,为什么是从郑州发的货
1436261,美容彩妆,31598207,控油吗适合混合型皮肤
1408299,美容彩妆,22493220,防水吗
1286014,美容彩妆,56179380,哺乳期能用吗
1353385,美容彩妆,59846474,"明明显示买两瓶是218,怎么在支付时变成了240几了呀"
1353385,美容彩妆,61671859,多少天会到
1624440,美容彩妆,29388205,这个色号实体店多少钱
1429467,美容彩妆,19614717,有没有手提袋
1451504,美容彩妆,25491299,这款跟晶钻50毫升的价格差不多买晶钻是不是更划算
1604727,美容彩妆,71201080,为什么没有40色啊
1606292,美容彩妆,58799218,不知道咋么选色
1508348,美容彩妆,87903120,你买的是多少钱啊我怎么还看到有7989的现在是119
1350256,美容彩妆,20690539,干皮可以吗黏不黏
1318198,美容彩妆,65146274,生产日期哪里看
1559669,美容彩妆,60139327,你们都是花了多少钱购入的啊
1318198,美容彩妆,52396903,孕妇可不可以用
1616143,美容彩妆,15081035,请问仙女们我皮肤偏黄选什么色号的合适21号的假白吗
1368847,美容彩妆,28423159,有客服吗买了两瓶就发了一瓶
1411037,美容彩妆,51193744,有保修吗什么版的
1353385,美容彩妆,81698572,这是带卸妆功效的日常不化妆可以用吗和芙丽芳丝的比哪个好用
1617478,美容彩妆,48153967,是正品吗一直不敢下手
1457108,美容彩妆,17047524,冷水和祖马龙的鼠尾草哪个淡些呢
1429467,美容彩妆,31223615,那些回答是正品的人用过专卖店买的货吗不要说感觉感觉不靠谱
1429293,美容彩妆,56317295,大家买了多少钱啊
1390937,美容彩妆,25824890,会跟防晒搓泥吗
1429467,美容彩妆,29316875,这款香水适合女生吗
1606292,美容彩妆,83351222,送了替芯吗
1262398,美容彩妆,61278152,是否提亮肤色保湿吗
1337953,美容彩妆,67073488,20岁可以用吗
1588979,美容彩妆,76924262,感觉假后来在官网买了一只膏体包装字体不一样气味有差别心塞
1318198,美容彩妆,41676465,里面没有说明书吗怎样查询是否正品
1430139,美容彩妆,23082798,几天到的啊喷在衣服上留香久吗
1465010,美容彩妆,19081572,能带妆多久持久吗小姐姐们
1600681,美容彩妆,16226728,请问各位仙女这款色号是BO-01吗
1323205,美容彩妆,17011530,孕妇可以用不
1426115,美容彩妆,69865539,为什么我用会搓泥我是擦完隔离用的涂抹到脸上的大家怎么用
1491049,美容彩妆,23597841,化了妆怎么用
1235452,美容彩妆,41755924,大家用完有没有白色的角质出来
1426114,美容彩妆,66242145,那个色号白点
1624610,美容彩妆,25785347,我的皮肤有时候有点红可以用这个颜色吗
1350255,美容彩妆,14962341,适合干性的吗
1610906,美容彩妆,51036658,是正品吗包装跟专卖店一样吗
1606292,美容彩妆,53023177,干皮用的话会脱妆吗
1555403,美容彩妆,25840896,持妆怎么样混油皮适合吗
1330333,美容彩妆,34618526,我本来是中性皮肤现在有点黑头和粉刺了能用吗
1399387,美容彩妆,17695793,皮肤有点黄请问这款适合吗
1624875,美容彩妆,14417736,是正品吗
1623447,美容彩妆,48188728,请问这款眼线笔时间久了掉不掉渣
1588998,美容彩妆,58996180,颜色怎么样一般显色吗
1286014,美容彩妆,80220375,会反弹吗
1428888,美容彩妆,16966575,有人和专柜的做过对比吗好多人说是假的
1313343,美容彩妆,62244773,日期怎么看
1353385,美容彩妆,54278888,是正品吗
1583704,美容彩妆,14637679,这个是心机隔离吗
1368847,美容彩妆,29775416,含酒精吗
1465074,美容彩妆,52281458,油皮用会不会太油啊
1507800,美容彩妆,83285132,请问口红有塑封吗
1339733,美容彩妆,55875918,这个是亚洲版的嘛后期申请质保需要付那25%的费用吗
1567100,美容彩妆,26637647,能遮住斑吗
1426454,美容彩妆,15845667,我想请问我就想买女士的怎么只有男士的啊
1606292,美容彩妆,54975171,这个是不是正品啊
1453231,美容彩妆,62727898,请问混合性皮肤适合哪种啊
1428772,美容彩妆,34621048,这个可以天天用吗
1350256,美容彩妆,30777400,油性皮肤可以用不
1430067,美容彩妆,17906390,适合夏天用吗本人宝妈一个25了
12617,美容彩妆,17966300,女大童能用吗
1606292,美容彩妆,13942590,混合型偏油的肤质适合哪个色号呢麻烦推荐一下谢谢
1559663,美容彩妆,19666595,电池好换吗
1399387,美容彩妆,58628490,你们知不知道为啥和旗舰店价格相差那么大啊
1390937,美容彩妆,23593224,孕妇能用吗
1353385,美容彩妆,83319544,可以用多久
1426116,美容彩妆,55160336,大家多少钱入的
1350256,美容彩妆,88490502,每瓶多少毫升啊
1428726,美容彩妆,15458744,持香多久
1350256,美容彩妆,16228219,23岁适合用吗
1465074,美容彩妆,74209731,小仙女们请问一瓶大概可以用多久
1466974,美容彩妆,56014687,请问这是正品吗
1508348,美容彩妆,28423289,皮肤干一周能用几次
1353385,美容彩妆,44442317,适合干皮么
1229364,美容彩妆,69253530,干皮可以用吗
1350256,美容彩妆,23673219,我用了绿茶精华还需要用这款水吗这款水比较稠是爽肤水还是精华
1600076,美容彩妆,24184459,999什么时候有货
1368869,美容彩妆,63045769,为什么有的店只要59元没有假货不可能
