,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,上海-徐汇区,数据分析助理,上海思勃商务咨询有限公司,20-99人,民营,6千-8千,本科,数据分析 ,不限
1,上海-静安区,数据分析工程师,喜士多,1000-9999人,民营,1万-1.5万,本科,数据分析 ,1-3年
2,上海-静安区,数据分析师,上海谨思信息咨询有限公司,20-99人,合资,1.5万-3万,本科,数据清洗 数据挖掘 数据分析 商业分析 商业数据分析 数据中台 BI 爬虫 ,1-3年
3,上海,数据分析师,中通快递,1000-9999人,股份制企业,面议,本科,excel ,1-3年
4,上海-黄浦区,数据分析师,上海留服文化发展有限公司,20-99人,合资,1万-1.5万,本科,数据分析 ,1-3年
5,上海-徐汇区,数据分析师 实习生,德仪洋行企业发展(上海)有限公司,100-299人,民营,4千-6千,本科,数据分析 ,不限
6,上海,高级数据分析师,北京泛鹏天地科技股份有限公司,500-999人,民营,1.5万-2万,本科,数据分析 ,3-5年
7,上海,数据分析师,上海普三投资管理有限公司,100-299人,民营,1万-1.5万,本科,SPSS Python 数据分析 大数据分析 ,不限
8,上海-徐汇区,高级数据分析师（BI）,太平洋房屋（总部）,1000-9999人,民营,1.5万-1.8万,本科,数据分析 Tableau Python BI SQL Server R语言 ,3-5年
9,上海,"数据分析师, 上海",赫兹租车咨询(上海)有限公司,20-99人,外商独资,8千-9千,中专/中技,SQL Power BI 数据分析 Tableau ,不限
10,上海-徐汇区,数据分析师,上海经达信息科技股份有限公司,20-99人,民营,1万-1.2万,本科,Hive Python SQL 数据仓库 SPSS 决策树 大数据分析 ,1-3年
11,上海-青浦区,数据分析师,申通快递,10000人以上,上市公司,2万-3.5万,本科,SQL BI Python Tableau 数据分析 大数据分析 ,3-5年
12,上海-普陀区,数据分析师,上海运慧咨询管理有限公司,100-299人,民营,8千-1万,大专,数据分析 数据清洗 数据挖掘 数据建模 数据仓库 ,不限
13,上海,数据分析师（数据科学）,上海衍梓智能科技有限公司,20人以下,民营,3千-6千,本科,商业分析 商务智能 机器学习 Python 项目管理 数据建模 ,无经验
14,上海,资深数据分析师（电商）,北京腾龙时代通信技术有限责任公司,20-99人,民营,1万-1.5万,本科,商业数据分析 ,3-5年
15,上海,基金产品数据分析师,上海景沧投资咨询有限公司,20人以下,民营,1万-2万,本科,Python MATLAB 数据分析 C++/C# ,1-3年
16,上海-长宁区,数据分析师,精明购,100-299人,合资,1万-1.5万,本科,excel ,1-3年
17,上海,数据分析师助理,深圳市千凌源科技有限公司,100-299人,民营,4千-6千,大专,数据分析 数据建模 数据挖掘 数据治理 数据仓库 聚类 ,1-3年
18,上海,数据分析师,上海爱数,1000-9999人,民营,8千-1.5万,本科,数据分析 数据挖掘 SQL ,1年以下
19,上海-浦东新区,数据分析师,中怡保险经纪有限责任公司,500-999人,合资,1万-1.5万,本科,Python 数据清洗 数据分析 数据挖掘 SQL 大数据分析 ,1-3年
20,上海-杨浦区,数据分析师(J10479),上海利真,1000-9999人,民营,6千-8千,本科,数据分析 Python SQL excel ,1-3年
21,上海,数据分析师,科瓴医疗,20-99人,民营,8千-1万,大专,数据挖掘 数据采集 需求分析 商业分析 ,3-5年
22,上海-长宁区,数据银行分析师,精明购,100-299人,合资,8千-1.5万,本科,数据银行 ,不限
23,上海-闵行区,数据分析师,上海爱数,1000-9999人,民营,8千-1.5万,本科,数据分析 数据挖掘 SQL ,1年以下
24,上海-徐汇区,数据分析专员/数据分析师,上海榕智市场营销策划股份有限公司,100-299人,股份制企业,5千-7千,大专,数据分析 大数据分析 数据采集 需求分析 行业分析 ,不限
25,上海-徐汇区,数据分析师,外企德科,1000-9999人,合资,1.5万-2万,硕士,数据分析 ,不限
26,上海,数据分析师,上海佩凌信息科技有限公司,100-299人,民营,6千-8千,大专,需求分析 数据挖掘 ,不限
27,上海,数据分析师,南京飞勒克工业设备有限公司,100-299人,外商独资,8千-1万,本科,数据分析 数据挖掘 SQL ,1-3年
28,上海,数据分析师,上海赛灏互联网科技有限公司,20-99人,上市公司,1万-1.5万,本科,Python 数据采集 数据建模 数据挖掘 需求分析 ,1-3年
29,上海-浦东新区,数据分析师,兴业数字金融服务(上海)股份有限公司,1000-9999人,银行,1万-1.5万,本科,数据分析 ,不限
30,上海-浦东新区,数据分析师,上海万盟网络科技有限公司,20-99人,民营,1万-1.5万,大专,数据分析 数据挖掘 Python Tableau ,1-3年
31,上海-徐汇区,数据分析师（人力资源方向）-0001,上海中智人才顾问咨询有限公司,20-99人,国企,8千-1.2万,本科,人力资源方向 数据分析 ,1-3年
32,上海,数据分析师,南京飞勒克工业设备有限公司,100-299人,外商独资,1万-1.5万,大专,数据统计分析 ,1-3年
33,上海-黄浦区,数据分析师,国药药材股份有限公司,100-299人,股份制企业,8千-1.2万,本科,数据分析 数据清洗 数据建模 数据仓库 Python SQL MySQL Power BI ,1-3年
34,上海,数据分析师,上海百秋电子商务有限公司,1000-9999人,上市公司,1.2万-1.6万,本科,数据分析 Python BI 数据清洗 SQL 商业数据分析 ,3-5年
35,上海-闵行区,数据分析师【美凯龙爱家】,红星美凯龙,10000人以上,上市公司,1万-1.5万,本科,数据分析 Python ,不限
36,上海,数据分析师（BI）,小蚁科技,100-299人,外商独资,1.5万-3万,本科,数据分析 数据挖掘 BI 数据仓库 ,5-10年
37,上海,数据分析师,凯诘电商,500-999人,民营,6千-1万,大专,数据分析 SQL MySQL Python ,不限
38,上海-虹口区,数据分析师,掌门教育（中国）,10000人以上,民营,1.5万-2万,本科,数据分析 Python BI 数据清洗 Hive Tableau ,3-5年
39,上海-闵行区,数据分析师,上海榕赢品牌管理有限公司,10000人以上,民营,1万-1.5万,本科,数据分析 Python SQL SPSS MySQL 大数据平台 大数据分析 ,3-5年
40,上海-松江区,数据分析师,晨光文具,1000-9999人,股份制企业,1万-1.5万,本科,数据分析 数据挖掘 Python SQL Tableau ,1-3年
41,上海-闵行区,数据分析师（旺铺）,旺旺集团,10000人以上,上市公司,1.5万-2.5万,本科,数据分析 ,1-3年
42,上海,数据分析师,广东美的制冷设备有限公司,10000人以上,上市公司,面议,本科,数据分析 数据挖掘 市场洞察 社媒聆听 CRM 商业数据分析 数据建模 ,不限
43,上海-宝山区,数据分析师,微盟,1000-9999人,上市公司,1.5万-2.5万,本科,Python SQL 数据分析 数据挖掘 数据建模 ,3-5年
44,上海,数据分析师,大连斯锐信息技术公司,1000-9999人,民营,1万-1.5万,本科,数据分析 ,1-3年
45,上海,数据分析师,上海百秋电子商务有限公司,1000-9999人,上市公司,2万-3万,本科,Python Hadoop MySQL BI 数据分析 ,5-10年
46,上海-黄浦区,数据分析师(上海）,广州汇智通信技术有限公司,1000-9999人,国企,1.5万-2万,本科,SQL ,不限
47,上海,数据分析师,东浩人力资源,100-299人,国企,8千-1.2万,本科,数据库 SQL excel ,无经验
48,上海-浦东新区,BI数据分析师（ERP系统）,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1万-1.5万,本科,数据分析 Python BI ,1-3年
49,上海,数据分析师,中国天楹,1000-9999人,股份制企业,1.5万-2万,硕士,数据挖掘 数据分析 SQL ,1-3年
50,上海-长宁区,数据分析师-Power BI,上海比孚信息科技有限公司,100-299人,民营,1.8万-2.8万,本科,Power BI ,3-5年
51,上海,高级数据分析师,上海悦易网络信息技术有限公司,1000-9999人,合资,2.5万-4万,本科,数据分析 需求分析 ,3-5年
52,上海,数据分析师/ETL/BI—上海连通/学信网本科,信雅达,1000-9999人,上市公司,1.7万-2.4万,本科,数据分析 ,3-5年
53,上海,数据分析师,上海丰赞科技有限公司,10000人以上,民营,9千-1.8万,本科,统计学 数据分析 销售业务数据 互联网数据分析 互联网平台 数据分析工具 ,3-5年
54,上海-虹口区,数据分析师（上海）,美亚柏科,1000-9999人,上市公司,1万-1.5万,本科,大数据分析 数据挖掘 大数据平台 数据采集 ,1-3年
55,上海-闵行区,资深数据分析师（学车）(J14543),上海钧正网络科技有限公司,1000-9999人,民营,1.5万-3万,本科,数据挖掘 商业分析 SQL Python 数据建模 需求分析 ,3-5年
56,上海-浦东新区,数据分析师初级专员,智联RPO,1000-9999人,上市公司,面议,大专,商业分析 市场营销 ,1-3年
57,上海,销售数据分析师,上海丰赞科技有限公司,10000人以上,民营,8千-1.5万,本科,数据分析 销售业务数据 ,3-5年
58,上海-静安区,数据分析师,上海链家,10000人以上,民营,1.2万-1.8万,本科,SQL Python ,1-3年
59,上海,数据分析师,软中信息,100-299人,国企,1万-1.3万,硕士,数据分析 数据挖掘 ,1-3年
60,上海-虹口区,数据分析师,掌门教育（中国）,10000人以上,民营,1.5万-2万,硕士,数据分析 Python MySQL SQL ,3-5年
61,上海,数据分析师,纬创软件,1000-9999人,港澳台公司,6千-1万,本科,数据分析 ,1-3年
62,上海-杨浦区,数据分析师,杭州壹染科技有限公司,100-299人,国企,8千-1.5万,本科,数据分析 大数据分析 数据仓库 SQL ,1-3年
63,上海-长宁区,数据分析师,上海百秋电子商务有限公司,1000-9999人,上市公司,1万-1.5万,本科,数据分析 SPSS ,1-3年
64,上海,数据分析师,慧科讯业(北京)网络科技有限公司上海分公司,500-999人,外商独资,1千以下,本科,数据分析 大数据平台 舆情分析 ,不限
65,上海,数据分析师,上海陆杰电子科技有限公司,100-299人,民营,1万-1.5万,本科,数据分析 ,3-5年
66,上海,数据分析师-医疗,上海蓬海涞讯数据技术有限公司,100-299人,民营,7千-1.4万,本科,数据分析 SQL SPSS Python 医疗 ,不限
67,上海,数据分析师/210323W127,上海魁可企业管理咨询有限公司,20人以下,外商独资,8千-1.2万,大专,数据分析 ,1-3年
68,上海-浦东新区,数据分析师（保险） (MJ000137),百融云创,500-999人,股份制企业,1.5万-2.5万,本科,数据分析 ,3-5年
69,上海-浦东新区,数据分析师,上海陆杰电子科技有限公司,100-299人,民营,1万-1.5万,本科,数据分析 ,3-5年
70,上海-浦东新区,数据分析师,上海路捷鲲驰集团股份有限公司,1000-9999人,民营,2万-3万,本科,数据分析 销售业务数据 ,3-5年
71,上海-长宁区,资深数据分析师,上海屹聘企业管理咨询有限公司,100-299人,民营,1.5万-2.5万,本科,数据分析 ,3-5年
72,上海-长宁区,业务数据分析师(J22508),携程集团,10000人以上,上市公司,1.5万-3万,本科,数据分析 ,3-5年
73,上海-浦东新区,数据分析师（外汇岗位）,上海向普科技有限公司,100-299人,合资,8千-1.5万,本科,数据分析 SQL SPSS Tableau ,1-3年
