,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,北京-东城区,数据分析师,北京梵清律师事务所,100-299人,律师事务所,1万-2万,本科,数据分析 数据监控 行业分析 ,1-3年
1,北京-东城区,数据分析师,北京融海新程科技有限公司,100-299人,合资,1万-1.5万,学历不限,数据分析 Python ,不限
2,北京,NT0501-数据分析师G01739,便利蜂商贸有限公司,1000-9999人,民营,2万-4万,本科,数据分析 数据清洗 SPSS SQL ,3-5年
3,北京-海淀区,数据分析师,北京木丁商品信息中心,20-99人,股份制企业,4千-6千,大专,SQL 数据分析 excel ,1-3年
4,北京-朝阳区,数据分析师助理 周末双休,北京融海新程科技有限公司,100-299人,合资,6千-8千,大专,数据分析 ,不限
5,北京,数据分析师,淘数科技(北京)有限公司,20-99人,民营,6千-1万,本科,Oracle 数据分析 大数据分析 Python PPT 数据建模 ,1-3年
6,北京,数据分析师,量子数聚(北京)科技有限公司,20-99人,民营,8千-1.5万,本科,需求分析 Python 数据建模 数据挖掘 ,1-3年
7,北京-朝阳区,数据分析师 朝九晚六,北京融海新程科技有限公司,100-299人,合资,1万-2万,大专,数据分析 ,1-3年
8,北京,数据分析师,淘数科技(北京)有限公司,20-99人,民营,6千-1万,本科,数据分析 数据挖掘 Python 数据建模 数据采集 数据治理 数据清洗 SQL ,1年以下
9,北京,数据分析师,北京快步互联科技有限公司,20-99人,民营,1万-1.5万,本科,数据分析 深度学习 商业分析 ,无经验
10,北京,数据分析师,北京融海新程科技有限公司,100-299人,合资,8千-1.6万,大专,数据分析 ,1-3年
11,北京,数据分析师,中科金审,100-299人,民营,1.2万-1.8万,本科,数据分析 数据挖掘 Python 数据清洗 BI ,3-5年
12,北京-朝阳区,高级数据分析师,智联招聘,1000-9999人,合资,2万-3万,本科,数据分析 Python SQL 机器学习 ,3-5年
13,北京,业务数据分析师,红盾大数据,20-99人,民营,1万-1.8万,本科,SQL SPSS R语言 SAS ,不限
