,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,南京,数据分析师,南京长江第二大桥有限责任公司,100-299人,国企,8千-1万,本科,数据分析 数据采集 行业分析 ,3-5年
1,南京,数据分析师,北京嘀嘀无限科技发展有限公司,1000-9999人,外商独资,1.2万-2万,本科,Tableau 数据分析 Python SQL MySQL ,3-5年
2,南京-雨花台区,数据分析师,满帮集团,1000-9999人,民营,1万-1.5万,本科,数据分析 ,3-5年
3,南京-江宁区,数据分析师,佰聆数据股份有限公司北京分公司,100-299人,民营,8千-1.5万,本科,数据分析 数据建模 ,3-5年
4,南京-建邺区,数据分析师,苏州人瑞永道人力资源服务有限公司衢州分公司,1000-9999人,上市公司,6千-9千,本科,数据分析 ,1-3年
5,南京,数据分析师（外派泰州）,环思科技(江苏)有限公司,20-99人,民营,8千-1万,本科,SQL Python 数据分析 数据建模 大数据分析 商业数据分析 ,1-3年
6,南京-鼓楼区,数据分析师,江苏百嘉年教育科技有限公司,20-99人,民营,4千-6千,本科,数据挖掘 数据分析 ,不限
7,南京-鼓楼区,数据分析师 周末双休+五险一金,人瑞集团,500-999人,民营,4千-7千,中专/中技,双休 ,不限
8,南京-建邺区,数据分析师,南京烽火星空通信发展有限公司,1000-9999人,国企,1万-1.8万,硕士,数据分析 数据挖掘 Python 数据仓库 数据建模 ,1-3年
9,南京,数据分析师,上海占方信息科技有限公司,100-299人,民营,6千-8千,大专,数据分析 数据挖掘 数据建模 大数据分析 ,不限
10,南京-鼓楼区,数据分析师,南京佳一软件有限公司,1000-9999人,民营,9千-1.2万,本科,数据分析 数据挖掘 SQL 大数据分析 数据采集 商业分析 需求分析 Python ,1-3年
11,南京,初级数据分析师,南京正诺软件技术有限公司,100-299人,民营,4千-6千,大专,行业分析 数据采集 数据建模 需求分析 Python 数据挖掘 ,不限
12,南京-江宁区,数据分析师,江苏汉资餐饮管理有限公司,10000人以上,民营,1.9万-2.2万,本科,商业分析 数据挖掘 需求分析 ,3-5年
13,南京-建邺区,数据分析师,南京贝壳找房,1000-9999人,民营,5千-8千,本科,数据分析 数据清洗 Tableau ,1-3年
14,南京-鼓楼区,数据分析师,杭州勒芒科技有限公司,20-99人,民营,6千-8千,学历不限,Python DATAWORKS DATAQ ,1-3年
15,南京-玄武区,数据分析处理师 周末双休 月入4-7K,人瑞集团,500-999人,民营,4千-7千,中专/中技,双休 ,不限
16,南京-雨花台区,数据分析师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1万-2万,本科,数据挖掘 商业分析 数据采集 数据建模 ,1-3年
17,南京-江宁区,高级数据分析师（分析组长）,南京百丝特网络科技有限公司,100-299人,民营,1万-1.5万,本科,Python 数据分析 R ,3-5年
18,南京,数据模型分析师(Utility Pricing Analyst),南京智大数据软件有限公司,20-99人,外商独资,8千-1万,本科,SQL 数据建模 ,不限
19,南京-鼓楼区,数据处理分析师 入职缴纳五险一金,人瑞集团,500-999人,民营,4千-7千,中专/中技,双休 ,不限
20,南京-鼓楼区,数据分析师,无锡高点家居文化产业有限公司,20人以下,民营,8千-1万,本科,数据分析 ,3-5年
21,南京,数据分析师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1.2万-2万,本科,数据分析 大数据分析 数据监控 互联网产品 ,3-5年
22,南京-雨花台区,数据分析师,武汉佰钧成技术有限责任公司,1000-9999人,民营,9千-1.5万,本科,数据分析 MySQL Python 数据清洗 Hadoop ,3-5年
23,南京,数据分析师（大小休+五险一金）,南京小码王教育科技有限公司,100-299人,民营,4千-8千,大专,数据分析 ,1-3年
24,南京-雨花台区,数据分析师,大连斯锐信息技术公司,1000-9999人,民营,8千-1.3万,本科,Hadoop SQL ,1-3年
25,南京-鼓楼区,数据分析师（数据分析主管）,无锡高点家居文化产业有限公司,20人以下,民营,1万-1.2万,本科,商业数据分析 数据建模 ,3-5年
26,南京-建邺区,中级数据分析师,博彦科技,10000人以上,上市公司,8千-1万,本科,数据分析 ,3-5年
27,南京-建邺区,大数据分析师,中通服设计院,1000-9999人,国企,面议,本科,大数据分析 ,3-5年
28,南京-江宁区,数据分析师,中软国际,10000人以上,上市公司,面议,本科,数据分析 EXECL数据透视表 ,1-3年
29,南京-建邺区,数据分析师,南京汇银迅信息技术有限公司,100-299人,民营,7千-1.3万,本科,数据分析 财务运营 ,1-3年
30,南京-栖霞区,数据分析师助理,中创碳投,100-299人,民营,4千-6千,大专,行业数据分析 数据采集 ,不限
31,南京-江宁区,数据分析师,领行科技,100-299人,合资,9千-1.5万,硕士,数据分析 数据挖掘 Oracle SQL Server Python ,不限
32,南京,数据分析师,深圳市世联土地房地产评估有限公司,500-999人,民营,4千-8千,本科,数据分析 房地产评估 土地评估 ,1-3年
33,南京,数据分析师,南京宝正见企业管理有限公司,100-299人,民营,1万-2万,大专,,1-3年
34,南京,数据分析师,康尼公司,1000-9999人,民营,8千-1.2万,本科,算法 仿真 ,1-3年
35,南京,遗传数据分析师,世和基因,500-999人,民营,7千-1万,硕士,遗传 报告解读 ,1-3年
36,南京,数据分析师-众能联合,众能联合数字技术有限公司,100-299人,民营,1.2万-2万,本科,数据分析 ,1-3年
37,南京-浦口区,数据分析专员,飞象(杭州)资产管理有限公司,100-299人,民营,6千-8千,大专,数据分析 ,不限
38,南京,数据分析助理,南京金意品信息科技有限公司,100-299人,民营,2千-4千,大专,Python 数据挖掘 数据分析 ,不限
39,南京,数据分析员,嘉量信息,20-99人,民营,8千-1.2万,本科,数据分析 数据清洗 ,不限
40,南京-雨花台区,数据分析,诚迈科技,1000-9999人,上市公司,2.5万-4.5万,本科,数据分析 商业分析 商业数据分析 AWS 数据挖掘算法 英语流利 ,5-10年
41,南京-江宁区,数据分析员 餐补 年终奖 不加班,杭州陌晨投资管理有限公司,100-299人,民营,6千-8千,大专,数据分析 ,不限
42,南京,数据分析经理,金陵饭店,1000-9999人,其它,1万-2万,本科,数据分析 ,不限
43,南京,实施工程师,江苏亚寰软件股份有限公司,20-99人,股份制企业,4千-8千,大专,数据分析 数据挖掘 SQL 大数据分析 BI 医疗 数据平台 ,1-3年
44,南京-鼓楼区,数据分析工程师,上海天柏信息科技有限公司,100-299人,民营,6千-1.2万,本科,数据分析 MATLAB 数据建模 R语言 ,不限
45,南京,工业大数据分析,南京利来能源科技有限公司,20-99人,民营,8千-9千,大专,数据分析 Python 需求分析 行业分析 ,不限
46,南京,大数据分析师,天源迪科,1000-9999人,民营,1万-1.5万,本科,,1-3年
47,南京-建邺区,高级数据分析工程师,博彦科技,10000人以上,上市公司,6千-8千,本科,数据分析 ,3-5年
48,南京-雨花台区,人力资源大数据分析师,擎盾数据,500-999人,股份制企业,7千-1.4万,本科,人力资源管理师二级 ,1-3年
49,南京-秦淮区,夫子庙招地理信息数据处理人员 ，五险一金,南京一航信息科技有限公司,20-99人,民营,8千-1万,本科,数据分析 数据采集 CASS 不动产权籍调查 国土调查 ,不限
50,南京,数据分析与运营专家,华为技术有限公司,10000人以上,民营,面议,本科,,无经验
51,南京,数据分析工程师,乐金化学(南京)新能源科技有限公司,1000-9999人,外商独资,6千-8千,本科,SQL MySQL 数据分析 ,不限
52,南京,数据分析实习生,南京正诺软件技术有限公司,100-299人,民营,4千-6千,大专,数据挖掘 舆情分析 数据建模 R语言 SPS 需求分析 ,不限
53,南京-雨花台区,gis数据处理工程师,江苏中天吉奥信息技术股份有限公司,100-299人,股份制企业,4千-8千,本科,arcgis ,不限
54,南京-雨花台区,高级数据分析专员,广州希音供应链管理有限公司,1000-9999人,民营,6千-8千,本科,Tableau 数据分析 SQL ,不限
55,南京-雨花台区,DPI分析工程师,北京中创信测科技股份有限公司,300-499人,民营,9千-1.2万,本科,数据分析 需求分析 网络应用 ,不限
56,南京-建邺区,数据分析文员（双休+五险一金+带薪年假）,人瑞集团,500-999人,民营,4千-7千,中专/中技,双休 ,不限
57,南京-雨花台区,数据分析助理,亚信安全科技股份有限公司,1000-9999人,民营,6千-1万,本科,数据分析 商业分析 ,1-3年
58,南京,统计师,嘉量信息,20-99人,民营,8千-1.2万,本科,数据分析 数据清洗 ,不限
59,南京-江宁区,医药数据咨询,重庆康洲大数据有限公司,20-99人,民营,8千-1.2万,本科,数据挖掘 数据分析 商业数据分析 ,不限
60,南京-秦淮区,大数据分析工程师,江苏号百,100-299人,国企,1.5万-2万,本科,数据分析 数据清洗 数据挖掘 Python Spark Hbase Hive 数据建模 ,1-3年
61,南京-秦淮区,空气质量监测数据分析工程师,上海大诚若谷信息科技有限公司,100-299人,民营,7千-9千,本科,空气监测 空气质量 数据分析 VOC 环境监测 空气 大气 ,1-3年
62,南京,数据分析与挖掘工程师,华为技术有限公司,10000人以上,民营,面议,本科,,无经验
63,南京-雨花台区,数据分析,诚迈科技,1000-9999人,上市公司,2万-3万,本科,数据分析 AWS大数据技术 数据挖掘 大数据分析 ,5-10年
64,南京,数据部主管,新生医疗,1000-9999人,民营,8千-1.2万,本科,数据分析 数据挖掘 数据建模 SQL 需求分析 BI Python excel ,3-5年
65,南京-江宁区,数据统计（南京）,方天股份,100-299人,股份制企业,1万-1.5万,大专,Hadoop Spark ,3-5年
66,南京-江宁区,高级产品经理（成本数据分析）,江苏东印智慧工程技术研究院有限公司,20-99人,民营,1.2万-1.6万,本科,大数据分析 造价 ,3-5年
67,南京,信息科技部需求管理及数据分析岗,广发银行南京分行,1000-9999人,股份制企业,面议,本科,数据分析 ,1-3年
68,南京,商业分析师,满帮集团,1000-9999人,民营,2万-3万,本科,商业分析 数据建模 行业分析 ,3-5年
69,南京-浦口区,数据化治理工程师,南京强思工程技术服务有限公司,100-299人,民营,2万-3万,本科,数据分析 Python SQL 数据建模 机器学习 数据仓库 大数据分析 大数据平台 ,5-10年
70,南京,数据分析主管,南京贝壳找房,1000-9999人,民营,1万-1.5万,本科,数据分析 ,3-5年
71,南京,数据分析总监,万帮数字能源股份有限公司,1000-9999人,民营,2.5万-3.5万,本科,数据分析 大数据分析 ,5-10年
72,南京-江宁区,数据统计,方天股份,100-299人,股份制企业,1万-1.6万,大专,Hadoop Spark ,1-3年
73,南京-江宁区,智中台系统分析师(SA)ZX,鼎捷软件,1000-9999人,上市公司,1.2万-2万,本科,数据分析 ,3-5年
74,南京-建邺区,三维数据处理与开发工程师,南京国图信息产业有限公司,1000-9999人,民营,8千-1万,本科,数据建模 ,1-3年
75,南京,图像数据处理实习生,景瑞康医药科技,20-99人,民营,2千-3千,本科,数据处理 ,不限
76,南京,报表开发工程师,江苏创纪云网络科技有限公司,100-299人,民营,1万-1.5万,大专,SQL Server 数据架构 ,1-3年
77,南京,高级数据管理员(J15023),扬子江药业集团,10000人以上,民营,1万-1.5万,本科,数据分析 ,3-5年
78,南京,临床试验初级统计师,南京亿科人群健康研究院有限公司,20-99人,民营,7千-1万,硕士,数据分析 数据挖掘 ,1-3年
79,南京,SAP Business Analyst,毕马威华振,1000-9999人,民营,8千-1.5万,本科,excel ,3-5年
80,南京,博士生,梅花生物科技集团股份有限公司,10000人以上,股份制企业,2万-3万,博士,数据分析 数据挖掘 数据建模 深度学习 行业分析 金融 ,不限
81,南京-雨花台区,SCM,润和软件,1000-9999人,上市公司,2.5千-5千,本科,数据分析 ,不限
82,南京-江宁区,产品经理（TOC）(J12952),正大天晴,10000人以上,合资,3万-5万,本科,数据分析 数据挖掘 ,5-10年
