,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,厦门-思明区,数据分析师,厦门易尔通网络科技有限公司,1000-9999人,股份制企业,6千-8千,本科,数据分析 SQL 数据仓库 Hive ,1-3年
1,厦门,数据分析师,易尔通网络科技,500-999人,民营,6千-8千,本科,数据分析 Python SQL ,1-3年
2,厦门-集美区,数据分析师,厦门真有趣信息科技有限公司,100-299人,民营,1.1万-1.9万,本科,数据分析 ,3-5年
3,厦门-湖里区,数据分析师,名鞋库,500-999人,民营,4千-5.5千,大专,数据分析 ,1-3年
4,厦门,跨境电商数据分析师,厦门沃德丰贸易有限公司,20-99人,合资,8千-1万,本科,数据建模 ,不限
5,厦门-集美区,数据分析师,北京网宿科技有限公司,1000-9999人,上市公司,1万-1.5万,本科,数据分析 Python 数据挖掘 机器学习 MySQL ,3-5年
6,厦门-湖里区,大数据分析师(J11317),朗新科技,1000-9999人,合资,1万-1.6万,本科,Python 数据采集 ,1-3年
7,厦门,数据分析师,太平洋产险,10000人以上,股份制企业,6千-8千,本科,保险 数学建模 ,不限
8,厦门,数据分析师,厦门易尔通网络科技有限公司,1000-9999人,股份制企业,5千-1万,本科,数据分析 Python SQL Hive ,1-3年
9,厦门-湖里区,数据挖掘分析师（2021届）,深圳索信达数据技术有限公司,500-999人,上市公司,8千-1.5万,硕士,数据清洗 数据建模 Python SQL SPSS ,无经验
10,厦门-集美区,数据分析员,厦门卡贝熊信息科技有限公司,20-99人,民营,5千-6千,中专/中技,数据分析 ,不限
11,厦门-思明区,数据分析专员 4k-6k+五险一金,魔方网聘(北京)科技有限公司福州分公司,500-999人,民营,8千-1万,大专,数据分析 ,不限
12,厦门-海沧区,数据分析专员,特宝生物,500-999人,上市公司,5千-1万,本科,数据分析 数据挖掘 ,不限
13,厦门,数据专员,厦门煌隆管理咨询有限公司,500-999人,民营,5千-6千,大专,数据分析 Python 数据清洗 SPSS ,1-3年
14,厦门,数据分析专员,克洛斯威(厦门)体育用品有限公司,100-299人,民营,5千-7千,本科,数据分析 数据采集 ,3-5年
15,厦门-集美区,数据分析员（实习）,厦门卡贝熊信息科技有限公司,20-99人,民营,3千-4千,学历不限,数据分析 ,不限
16,厦门-思明区,数据专员,厦门鲸至教育科技有限公司,500-999人,民营,6千-8千,本科,数据分析 ,1-3年
17,厦门-集美区,数据分析工程师,双驰实业股份有限公司,1000-9999人,民营,7千-1万,本科,数据挖掘 数据分析 聚类 决策树 商业数据分析 深度学习 产品数据分析 机器学习算法 ,1-3年
18,厦门-思明区,商品专员数据分析,三福服饰有限公司,10000人以上,其它,4千-6千,大专,数据分析 ,1年以下
19,厦门,模型数据岗,金美信消费金融,100-299人,合资,8千-1万,本科,数据建模 数据分析 数据挖掘 ,1-3年
20,厦门-思明区,数据分析专员 4-8k 入职即缴纳五险,厦门准者体育用品有限公司,500-999人,民营,4千-8千,大专,数据分析 ,不限
21,厦门-思明区,房产业务数据,厦门五八同城信息技术有限公司,100-299人,上市公司,8千-1万,本科,房产评估 房产数据 房产项目 ,1-3年
22,厦门,数据分析工程师,4399,1000-9999人,股份制企业,1万-1.5万,本科,数据分析 Kafka Hadoop 商业数据分析 ,1-3年
23,厦门,数据分析员,瑞幸咖啡,10000人以上,民营,6千-8千,本科,SQL ,1-3年
24,厦门-思明区,数据分析-报表开发,上海外服杰浦企业管理有限公司,100-299人,国企,7千-9千,本科,BI excel VBA 数据库 ,1-3年
25,厦门,帆软报表工程师,厦门云之巅信息技术有限公司,100-299人,民营,6千-1.2万,大专,BI 报表开发 FineReport 帆软报表 ,不限
26,厦门,银行数据分析（SAS/R语言/python/）,长亮科技,1000-9999人,上市公司,1万-1.5万,本科,数据分析 Python 决策树 R语言 ,3-5年
27,厦门-思明区,证券分析师,九牧王,1000-9999人,上市公司,1.5万-2万,硕士,投资分析 风险分析 量化分析 ,1-3年
28,厦门,售前工程师,厦门博言善行管理咨询有限公司,20-99人,民营,8千-1.2万,本科,文案策划 PPT ,3-5年
29,厦门,总行零售业务管理部——数据管理岗,厦门银行,1000-9999人,股份制企业,1.2万-2万,本科,数据分析 ,3-5年
30,厦门,储备干部（计算机专业，应届生）,谦帆(厦门)工贸有限公司,20-99人,民营,4千-6千,大专,数据分析 ,不限
31,厦门,Python工程师/大数据开发工程师,厦门热工环保系统工程有限公司,20-99人,民营,1万-1.5万,本科,Python 数据建模 需求分析 数据挖掘 ,3-5年
32,厦门,博士生,梅花生物科技集团股份有限公司,10000人以上,股份制企业,2万-3万,博士,数据分析 数据挖掘 数据建模 深度学习 行业分析 金融 ,不限
33,厦门-思明区,总行授信管理部-数据应用岗,厦门银行,1000-9999人,股份制企业,1.8万-2.4万,本科,数据分析 ,3-5年
