,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,天津,数据分析（供应）,天津市万达轮胎集团有限公司,1000-9999人,民营,5千-1万,本科,数据分析 ,1-3年
1,天津,数据分析师,天津合信共享科技发展有限公司,20-99人,民营,4千-7千,本科,数据分析 数据清洗 数据采集 数据挖掘 ,不限
2,天津-东丽区,数据分析师,佰聆数据股份有限公司北京分公司,100-299人,民营,1万-1.5万,本科,数据分析 ,3-5年
3,天津-西青区,数据分析师,航安云创科技(北京)有限公司,20-99人,民营,9千-1.2万,本科,数据分析 数据治理 数据建模 数据采集 大数据分析 ,3-5年
4,天津,数据分析师助理,天津丞辉科技发展有限公司,20-99人,民营,6千-8千,本科,数据挖掘 数据分析 数据采集 行业分析 SQL ,不限
5,天津-南开区,数据分析师,北京铭裕网络科技有限公司,100-299人,民营,6千-8千,大专,数据分析 ,1-3年
6,天津-西青区,数据分析师,北京京创曙光科技有限公司,20-99人,民营,1万-2万,本科,数据分析 数据挖掘 模型设计 神经网络 行业分析 ,3-5年
7,天津-和平区,数据分析师,魔方网聘(北京)科技有限公司天津分公司,20-99人,民营,6千-8千,大专,数据分析 ,1-3年
8,天津-河北区,数据分析师,华科信息,100-299人,股份制企业,8千-1万,大专,FineReport ,3-5年
9,天津-红桥区,数据分析师-天津,贝壳找房,10000人以上,上市公司,1万-1.5万,本科,数据分析 ,3-5年
10,天津,数据分析师,天津卓漫科技有限公司,500-999人,民营,4千-8千,本科,,不限
11,天津-河东区,数据分析师,趣街(天津)科技有限公司,20-99人,民营,5千-8千,大专,数据采集 需求分析 行业分析 商业分析 数据挖掘 ,1-3年
12,天津,数据分析师-上市公司,北京城市网邻信息技术有限公司天津分公司,1000-9999人,上市公司,6千-8千,本科,数据分析 ,1-3年
13,天津-滨海新区,数据分析师,北京五八信息技术有限公司,10000人以上,合资,6千-8千,本科,数据分析 SQL ,不限
14,天津-南开区,数据分析师（药品/耗材/中药材）(J12451),微医控股,1000-9999人,合资,1万-1.5万,本科,数据分析 数据仓库 SQL ,5-10年
15,天津,资深数据分析师,天津雅迪实业有限公司,1000-9999人,民营,5千-1万,本科,,1-3年
16,天津-静海区,大数据分析师（接受无经验）,中启富科技(北京)有限公司,100-299人,民营,7千-1.1万,大专,数据分析 大数据分析 数据采集 大数据平台 ,不限
17,天津,数据分析师,天津市大美威莎贸易有限公司,500-999人,民营,5千-8千,大专,数据分析 ,1-3年
18,天津,数据分析师,天狮集团,10000人以上,民营,面议,本科,SQL Python 数据分析 数据建模 数据挖掘 商业数据分析 R语言 SPSS ,3-5年
19,天津-静海区,数据分析师,爱玛科技,1000-9999人,民营,4千-6千,本科,数据统计分析 市场营销 ,无经验
20,天津,数据分析师,塔塔信息技术(中国)股份有限公司上海分公司,10000人以上,外商独资,4千-6千,本科,数据统计分析 office 统计 ,不限
21,天津,数据分析师,北京字节跳动科技有限公司,10000人以上,民营,8千-1.5万,本科,,3-5年
22,天津-东丽区,高级数据分析师,国网电力科学研究院北京科东电力控制系统有限责任公司,1000-9999人,国企,1.5万-2万,本科,数据分析 数据建模 R语言 Python 数据挖掘 数据清洗 大数据分析 数据治理 ,5-10年
23,天津,数据分析师助理,颐信科技有限公司天津分公司,100-299人,股份制企业,3.5千-6千,大专,Python SQL 需求分析 ,1-3年
24,天津,数据分析师,数智工场科技产业有限公司,20-99人,民营,1.5万-2万,本科,需求分析 数据处理 ,3-5年
25,天津,数据分析师,强微特,100-299人,民营,6千-1.2万,本科,,3-5年
26,天津-红桥区,贝壳集团/C端数据分析专员,中胜(天津)人力资源管理有限公司,20人以下,民营,5千-7千,本科,数据分析 ,1-3年
27,天津,数据分析,深圳挑挑科技有限公司天津分公司,20-99人,民营,5千-1万,本科,数据分析 需求分析 ,不限
28,天津,数据分析专员,天津港保税区伊润国际贸易有限公司,100-299人,合资,5千-8千,大专,office 数据分析 ,1-3年
29,天津-滨海新区,大数据分析师（接受无经验）,中启富科技(北京)有限公司,100-299人,民营,7千-1.1万,大专,数据分析 大数据分析 数据采集 大数据平台 ,不限
30,天津-滨海新区,数据统计分析类实习生,天津市凯成房地产咨询有限公司,100-299人,其它,4千-5千,本科,数据分析 数据监控 数据采集 ,不限
31,天津-滨海新区,需求分析师-大数据方向,海油信科,1000-9999人,国企,1万-1.5万,本科,数据治理 数据仓库 数据建模 模型设计 数据架构 ,不限
32,天津,数据分析专员,洋葱(天津)全屋智能家居有限公司,20-99人,民营,4千-8千,本科,数据挖掘 数据分析 行业分析 需求分析 周末双休 ,1-3年
33,天津-北辰区,数据分析文员,海口多圆金融服务有限公司,20人以下,合资,4千-6千,高中,数据挖掘 数据分析 Tableau ,不限
34,天津-河北区,大数据分析师（接受无经验）,中启富科技(北京)有限公司,100-299人,民营,7千-1.1万,大专,数据分析 大数据分析 数据采集 大数据平台 ,不限
35,天津-滨海新区,数据分析\初级开发工程师（天津）,中软国际,10000人以上,上市公司,面议,本科,SQL Python 数据采集 数据分析 ,1-3年
36,天津-河东区,数据清洗专员/7K-10K,北京宏达港湾建筑科技有限公司,20-99人,民营,7千-1万,大专,数据分析 数据清洗 ,不限
37,天津-红桥区,数据分析专家,成都瀚砂科技有限责任公司,100-299人,民营,1.5万-2万,本科,Python SQL Power BI Hive Spark ,不限
38,天津-和平区,数据规划分析员,北京易捷保网络技术有限公司,10000人以上,民营,8千-1.2万,本科,数据分析 数据挖掘 数据建模 商业分析 数据采集 大数据分析 商业数据分析 数据监控 ,1-3年
39,天津-静海区,自动化大数据分析师,中启富科技(北京)有限公司,100-299人,民营,7千-1万,大专,数据分析 大数据分析 ,1年以下
40,天津,分析师助理,颐信科技有限公司天津分公司,100-299人,股份制企业,3千-6千,本科,数据分析 报告撰写 情报分析 ,不限
41,天津,技术解决方案工程师（数据分析方向）,天津智慧城市研究院有限公司,20-99人,国企,7千-1.4万,硕士,数据分析 数据挖掘 数据建模 ,1-3年
42,天津-东丽区,政府统计专员（保税区）,天津博和利统计大数据有限公司,100-299人,民营,5千-7千,本科,数据分析 SPSS 数据建模 商业分析 行业分析 商业数据分析 ,不限
43,天津-河北区,eva软件分析,天津洛迦科技有限公司,20-99人,民营,5千-1万,大专,数据分析 行业分析 ,不限
44,天津-东丽区,大数据分析师（接受无经验）,中启富科技(北京)有限公司,100-299人,民营,7千-1.1万,大专,数据分析 大数据分析 数据采集 大数据平台 ,不限
45,天津-河北区,数据分析,华科信息,100-299人,股份制企业,1万-1.5万,大专,帆软 FineReport 数据分析 BI ,3-5年
46,天津,分析师助理,颐信科技有限公司天津分公司,100-299人,股份制企业,3千-6千,本科,数据挖掘 商业数据分析 行业分析 深度学习 商业分析 数据分析 ,不限
47,天津,制造业 财务 Power BI 数据专员,天津奥尼斯特企业管理咨询有限公司,20-99人,股份制企业,1万-1.5万,本科,Power BI BI 数据挖掘 ,不限
