,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,广州,数据分析师,广州瑟蒂渃服饰有限公司,100-299人,民营,4千-5千,本科,数据仓库 数据分析 数据集市 需求分析 ,1-3年
1,广州,数据分析师,广州巴伽娱乐传媒有限公司,100-299人,合资,5千-8千,大专,数据分析 ,1-3年
2,广州-天河区,业务数据分析师(J10404),中康资讯,300-499人,民营,1万-1.5万,本科,销售业务数据 ,3-5年
3,广州-越秀区,商业数据分析师,广州博晓智盈管理咨询有限公司,20人以下,民营,1.1万-1.6万,本科,商业分析 数据挖掘 数据采集 数据建模 ,3-5年
4,广州-越秀区,数据分析师,广州巴博瑞汽车零部件有限公司,100-299人,民营,5千-9千,大专,数据分析 数据挖掘 SPSS 行业分析 ,1-3年
5,广州,数据分析师,广州集优电子商务有限公司,100-299人,民营,7千-1万,大专,数据分析 数据采集 VBA 数据挖掘 数据监控 数据架构 ,1-3年
6,广州,数据分析师,广州市大鸽饭餐饮服务有限公司,500-999人,民营,1万-1.8万,大专,数据分析 ,1-3年
7,广州,数据分析师,广东尚源信息技术有限公司,100-299人,民营,7千-1万,本科,数据分析 数据建模 SQL ,1-3年
8,广州,数据分析师,广州智数信息技术有限公司,20-99人,民营,7千-1.2万,本科,数据建模 Python 数据清洗 SQL Oracle SQLServer 数据仓库 ,1-3年
9,广州,数据分析师,康立明生物,500-999人,民营,1万-1.8万,本科,数据分析 ,3-5年
10,广州-白云区,双休大数据分析师/本科学历,西安橄榄枝人力资源有限公司,100-299人,民营,7千-1万,本科,Oracle 数据分析 ,1年以下
11,广州-黄埔区,数据分析师,佰聆数据股份有限公司北京分公司,100-299人,民营,8千-1.5万,本科,数据分析 Greenplum ,3-5年
12,广州,数据分析师,深圳科迪新汇信息科技有限公司广州分公司,100-299人,民营,8千-1.5万,本科,数据分析 数据挖掘 数据清洗 数据建模 ,1-3年
13,广州,数据分析师助理,广州星晨互联网信息有限公司,20-99人,股份制企业,6千-9千,学历不限,数据分析 SQL Python ,不限
14,广州-天河区,初级数据分析师,广州智嘉科技有限公司,20-99人,合资,4千-8千,大专,SQL 商业分析 数据采集 需求分析 数据挖掘 Python ,不限
15,广州,数据分析师,中国联通广东分公司,1000-9999人,国企,1.3万-2.3万,本科,SQL Python 数据挖掘 数据建模 需求分析 Oracle ,1-3年
16,广州-黄埔区,数据分析师 （数据运营方向）,广州宏途教育网络科技有限公司,100-299人,民营,8千-1万,本科,数据分析 数据挖掘 大数据分析 大数据平台 ,1-3年
17,广州-天河区,数据分析师,广州天维信息技术股份有限公司,500-999人,股份制企业,8千-1.6万,本科,SPSS Python ,3-5年
18,广州-天河区,数据分析师,深圳市浪花网络科技有限公司,500-999人,民营,1万-1.5万,大专,数据分析 数据挖掘 Tableau 需求分析 ,1-3年
19,广州-天河区,数据分析师,启迪万众网络科技(北京)有限公司,20-99人,民营,7千-9千,本科,数据分析 Python SQL 爬虫 ,1-3年
20,广州-天河区,数据分析师,神州泰岳,1000-9999人,民营,9千-1万,大专,excel 数据分析 Python SQL ,3-5年
21,广州-白云区,数据分析师,广州欧博化妆品有限公司,500-999人,民营,6千-1万,大专,数据分析 大数据分析 数据治理 大数据平台 爬虫 商业分析 ,不限
22,广州,数据分析师,百度在线网络技术(北京)有限公司上海软件技术分公司,1000-9999人,上市公司,1万-1.5万,本科,数据分析 Python SQL 商业分析 商业数据分析 行业分析 ,1-3年
23,广州-荔湾区,数据分析师,名创优品,10000人以上,民营,8千-1.2万,本科,Python MySQL Tableau ,1-3年
24,广州-番禺区,商品数据分析师 (MJ000511),广州细刻网络科技有限公司,500-999人,民营,8千-1.3万,本科,数据分析 ,不限
25,广州-越秀区,数据分析师,台州市大数据发展有限公司,100-299人,国企,1.3万-1.8万,硕士,Hadoop Spark BI 数据分析 数据挖掘 数据清洗 大数据分析 需求分析 ,1-3年
26,广州-白云区,数据分析师,广州市爱莲化妆品有限公司,20-99人,民营,4千-6千,本科,数据分析 数据挖掘 SPSS 数据仓库 大数据分析 ,不限
27,广州-海珠区,数据分析师,保利地产投资顾问有限公司,1000-9999人,国企,2万-3万,本科,数据分析 ,5-10年
28,广州,数据分析师,名创优品,10000人以上,民营,1.5万-2.5万,本科,Python BI SQL Tableau 商业数据分析 需求分析 ,3-5年
29,广州-荔湾区,高级数据分析师,唯品会,10000人以上,上市公司,1.2万-2.4万,本科,数据分析 Python Hive SQL BI 商业数据分析 ,3-5年
30,广州,金融数据分析师（双休+非销售）,广州瀚信信息咨询服务有限公司,100-299人,民营,4千-6千,大专,风险控制 数据分析 金融 数据研究员 ,不限
31,广州,人力资源数据分析师,纳思达,10000人以上,民营,2万-2.5万,本科,数据分析 数据挖掘 数据建模 ,3-5年
32,广州-越秀区,助理数据分析师,佰聆数据股份有限公司北京分公司,100-299人,民营,6千-8千,本科,数据分析 SQL Python 数据建模 ,不限
33,广州-荔湾区,数据分析师,名创优品,10000人以上,民营,1.5万-2.5万,本科,Python BI SQL Tableau 商业数据分析 需求分析 ,3-5年
34,广州-番禺区,数据分析师,雅生活集团,1000-9999人,上市公司,1万-1.5万,本科,数据分析 ,1-3年
35,广州-荔湾区,数据分析师,大参林,10000人以上,上市公司,8千-1.5万,本科,统计学 数据分析 ,3-5年
36,广州,高级数据分析师,棒谷科技,1000-9999人,民营,1万-1.8万,本科,数据建模 数据挖掘 SQL Python 用户画像 ,3-5年
