,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,成都-高新区,数据分析师, 北京世纪安图数码科技发展有限责任公司 ,300-499人,民营,4千-6千,本科,数据分析 ,1-3年
1,成都-高新区,数据分析师,中电万维信息技术有限责任公司,1000-9999人,国企,8千-1.6万,本科,数据分析 ,3-5年
2,成都,数据分析师,成都碧优缇科技有限公司,20-99人,民营,1.2万-1.5万,本科,数据分析 BI ,3-5年
3,成都,数据分析师（应届生）,四川中环众合环境科技有限公司,20-99人,民营,6千-8千,硕士,环境工程 监测平台 大气管控 污染成因分析 数据分析 ,不限
4,成都,数据分析师,成都易训企业管理咨询有限公司,100-299人,民营,5千-8千,本科,大数据分析 SQL Python 数据分析 ,1-3年
5,成都-锦江区,数据分析师,四川小龙坎控股集团有限公司,1000-9999人,民营,7千-1.3万,大专,数据分析 数据清洗 BI SQL 商业数据分析 回归分析 ,1-3年
6,成都-高新区,数据分析师,成都路行通信息技术有限公司,1000-9999人,民营,1.4万-2万,硕士,数据分析 数据挖掘 Python 数据建模 大数据分析 回归分析 ,3-5年
7,成都,数据分析师,成都长益西联软件有限公司,100-299人,民营,7千-1万,本科,数据挖掘 数据分析 Python SQL ETL Tableau BI 大数据平台 ,1-3年
8,成都-金牛区,业务分析师/数据分析师,成都比昂科技有限公司,100-299人,民营,6千-8千,大专,数据分析 行业分析 需求分析 ,1-3年
9,成都-金牛区,数据分析师,新绿色药业,1000-9999人,民营,8千-1.2万,硕士,数据分析 数据挖掘 ,1-3年
10,成都,数据分析师,绎达咨询(成都)股份有限公司,20-99人,上市公司,5千-9千,本科,Tableau 数据分析 Python 数据建模 数据采集 ,1-3年
11,成都-金牛区,数据分析师,成都积微物联集团股份有限公司,1000-9999人,股份制企业,1万-1.5万,本科,Python Tableau 数据中台 聚类 MATLAT ,1-3年
12,成都-武侯区,数据分析师（成都）,成都鹏业软件股份有限公司,100-299人,民营,5千-8千,大专,数据分析 需求分析 ,1-3年
13,成都-武侯区,数据分析师-成都,廊坊智慧环境生态产业研究院有限公司,100-299人,民营,4千-6千,大专,数据分析 ,1-3年
14,成都,风险数据分析师,四川福摩数字科技有限公司,300-499人,民营,8千-1.5万,本科,数据分析 数据挖掘 Python ,1-3年
15,成都-高新区,数据分析师,成都美佳易佰科技有限公司,500-999人,民营,8千-1万,本科,数据分析 数据挖掘 数据建模 数据仓库 大数据分析 数据采集 ,3-5年
16,成都,数据分析师,成都拓普颐德科技有限公司,20-99人,民营,1万-1.5万,大专,数据分析 数据挖掘 大数据平台 数据集市 ,1-3年
17,成都,数据分析师,成都鸿鹄万沐信息技术服务有限公司,300-499人,民营,8千-1万,本科,数据分析 行业分析 舆情分析 需求分析 ,1-3年
18,成都-锦江区,数据分析师,苏州人瑞永道人力资源服务有限公司,不限,不限,4千-6千,本科,数据分析 ,不限
19,成都,数据分析师,富森美家居,500-999人,上市公司,1万-1.5万,大专,数据分析 数据挖掘 数据建模 大数据分析 数据监控 数据中台 需求分析 ,3-5年
20,成都-高新区,数据分析师 双休 餐房补贴,人瑞人力资源服务济南分公司,1000-9999人,民营,6千-8千,本科,数据挖掘 需求分析 ,无经验
21,成都-青羊区,数据分析师+双休,人瑞人力资源服务,500-999人,股份制企业,6千-8千,中专/中技,数据分析 ,不限
22,成都-武侯区,数据分析师,魔方网聘(北京)科技有限公司重庆分公司,20-99人,民营,6千-8千,大专,数据分析 数据挖掘 SQL ,不限
23,成都,数据分析师,成都小步创想慧联科技有限公司,100-299人,民营,1.5万-2万,本科,智慧城市 城市管理 城市治理 数学模型 ,1-3年
24,成都-高新区,数据分析师,魔方网聘(北京)科技有限公司西安分公司,20人以下,民营,6千-8千,大专,数据分析 SQL ,不限
