,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,杭州,数据分析师,杭州哈督普数据技术有限公司,20-99人,民营,1万-1.5万,本科,Hadoop Pandas 数据挖掘 数据分析 数据建模 大数据分析 Hive Python ,1-3年
1,杭州-江干区,数据分析师,思特奇,1000-9999人,上市公司,1万-1.6万,学历不限,数据分析 数据建模 数据挖掘 大数据分析 模型设计 R语言 MySQL 数据仓库 ,无经验
2,杭州-滨江区,亚马逊数据分析师,杭州福驻科技有限公司,300-499人,民营,1.5万-3万,本科,数据分析 SPSS SQL MySQL Python Matplotlib ,1-3年
3,杭州-西湖区,数据分析师,北京嘀嘀无限科技发展有限公司,1000-9999人,外商独资,3万-5万,本科,数据分析 Python SQL R语言 ,5-10年
4,杭州,数据分析师,杭州行致盛房地产服务集团有限公司,100-299人,民营,1.5万-2万,本科,数据分析 数据挖掘 Power BI Tableau BI ,3-5年
5,杭州-江干区,数据分析师,温州市鹿城区中津先进科技研究院,20-99人,民营,6千-1万,硕士,Python 数据采集 数据建模 ,1-3年
6,杭州,资深数据分析师(J210322055),北京嘀嘀无限科技发展有限公司,1000-9999人,外商独资,2万-3万,本科,,3-5年
7,杭州,数据分析师助理,深圳市煜琳科技有限公司,100-299人,民营,6千-8千,大专,Tableau 数据分析 数据挖掘 Python 数据清洗 BI ,1-3年
8,杭州-西湖区,数据分析师,杭州灭神网络科技有限公司,100-299人,民营,4千-7千,大专,数据分析 ,无经验
9,杭州-西湖区,数据分析师,杭州助创网络科技有限公司,20-99人,其它,5千-1万,大专,数据分析 ,1-3年
10,杭州,数据分析师,杭州盈达电子商务有限公司,100-299人,民营,7千-1.2万,大专,数据分析 商业分析 行业分析 ,不限
11,杭州-拱墅区,数据分析师,酷家乐,1000-9999人,民营,2万-3万,本科,Hive SQL ,3-5年
12,杭州,数据分析师,杭州壹丈科技有限公司,20-99人,民营,5千-1万,本科,数据分析 环境工程 环境科学 环保 ,不限
13,杭州-萧山区,数据分析师-实习岗,杭州培慕科技有限公司,20-99人,民营,3千-6千,本科,数据采集 数据清洗 ,无经验
14,杭州,数据分析师, 湃沃科技股份有限公司 ,500-999人,民营,8千-1万,大专,数据分析 数据运营 电商数据分析 ,1-3年
15,杭州,数据分析师,杭州早鲜一步食品科技有限公司,20-99人,民营,1万-1.5万,大专,数据分析 大数据分析 Python 深度学习 需求分析 爬虫 ,3-5年
