,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,武汉,数据分析师（五险一金+13薪）,武汉优惟特科技有限公司,20-99人,民营,5千-9千,大专,数据分析 Tableau 数据挖掘 Python 数据清洗 BI SQL 机器学习 ,不限
1,武汉-武昌区,数据分析师（武汉）,朴朴超市,10000人以上,民营,5千-7千,本科,Python SQL SPSS R语言 ,1-3年
2,武汉,数据分析师,武汉易晨创想科技有限公司,20-99人,民营,8千-1.2万,本科,数据分析 大数据分析 数据集市 数据建模 数据仓库 商业数据分析 ,不限
3,武汉-洪山区,数据分析师,深圳市讯方技术股份有限公司,1000-9999人,股份制企业,1万-1.5万,本科,数据分析 数据挖掘 Python ,3-5年
4,武汉-江夏区,数据分析师,深圳中电技术,1000-9999人,股份制企业,6千-1万,本科,数据分析 ,不限
5,武汉,数据分析师(成品),东风汽车,10000人以上,国企,6千-7千,本科,数据分析 ,1-3年
6,武汉-江夏区,数据分析师（电商）,武汉瑞尔达商贸有限公司,20-99人,外商独资,6千-8千,本科,数据分析 ,1-3年
7,武汉-江夏区,数据分析师（双休）6K,万宝盛华企业管理咨询(上海)有限公司武汉分公司,500-999人,上市公司,4千-7千,大专,数据分析 Oracle Hive SQL 数据挖掘 数据仓库 数据集市 数据监控 ,1年以下
8,武汉,数据分析师,武汉茂銮企业管理咨询有限公司,20-99人,民营,8千-1万,大专,数据 分析 团队 市场 销售 ,1-3年
9,武汉-江夏区,数据分析师,广州安莱信息通信技术有限公司宁波分公司,300-499人,民营,6千-7.5千,大专,数据分析 Python 数据挖掘 数据清洗 大数据分析 SQL ,1年以下
10,武汉,数据分析师,武汉优美网络技术有限公司,500-999人,民营,1万-1.5万,大专,数据分析 数据挖掘 大数据分析 ,不限
11,武汉,数据分析师,湖北容太实业有限公司,100-299人,民营,7千-1万,本科,数据分析 ,3-5年
12,武汉,数据分析师,武汉独佳竖琴文化传媒有限公司,100-299人,其它,1万-1.5万,大专,数据分析 ,不限
13,武汉-江岸区,数据分析师,魔方网聘(北京)科技有限公司西安分公司,20人以下,民营,4千-6千,大专,SQL ,不限
14,武汉-江夏区,电商数据分析师,武汉江赫医疗器械有限公司,500-999人,民营,5千-8千,大专,Python 数据分析 大数据分析 爬虫 大数据平台 ,1-3年
15,武汉-武昌区,数据分析师,武汉宵乐网络科技有限公司,不限,不限,5千-9千,大专,数据分析 大数据分析 ,不限
16,武汉,数据分析师,国新健康保障服务集团股份有限公司北京分公司,1000-9999人,国企,4千-6千,本科,医药学数据分析 医药学 ,不限
17,武汉-洪山区,数据分析师（舆情方向）6-8k+月休8天+五险一金,上海佩琪信息技术有限公司南昌分公司,100-299人,民营,6千-8千,本科,舆情分析 ,1-3年
18,武汉,高级数据分析师,武汉市洪山区新航道培训学校,1000-9999人,合资,7千-9千,本科,Tableau 数据分析 Python BI ,不限
19,武汉-江夏区,反欺诈分析师（数据方向）,人瑞人才科技集团有限公司,1000-9999人,上市公司,6千-8千,大专,数据分析 商业数据分析 需求分析 ,1-3年
20,武汉-黄陂区,中级数据分析师 (MJ000298),赢时胜,1000-9999人,民营,1万-2万,本科,数据分析 ,3-5年
21,武汉-武昌区,数据运营分析师,瑞庭网络技术(上海)有限公司武汉分公司,10000人以上,上市公司,9千-1.2万,本科,数据分析 销售业务数据 数据运营 ,1-3年
