,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,深圳,高级数据分析师,深圳市承儒科技有限公司,20-99人,民营,8千-1万,硕士,Python R语言 SPS 需求分析 数据挖掘 ,不限
1,深圳-福田区,数据分析师,常州威沃数据科技有限公司北京分公司,100-299人,民营,2万-3.5万,本科,数据分析 ,5-10年
2,深圳-南山区,高级数据分析师,深圳中原地产,10000人以上,民营,1.5万-2.5万,本科,数据分析 数据挖掘 Python 数据清洗 BI SQL 数据建模 数据仓库 ,3-5年
3,深圳,数据分析师,深圳市中信泰金融配套服务有限公司,20-99人,其它,1.8万-3.6万,本科,大数据分析 数据分析 行业分析 商业数据分析 ,3-5年
4,深圳,初级大数据分析师,深圳市极信科技有限公司,20-99人,民营,8千-9千,大专,数据分析 Python 数据清洗 ,不限
5,深圳-龙岗区,数据分析师,深圳万科物业,1000-9999人,股份制企业,8千-1.2万,本科,Python Tableau SQL BI ,3-5年
6,深圳,数据分析师,跨越速运,10000人以上,民营,6千-1万,大专,数据分析 数据挖掘 数据清洗 ,1-3年
7,深圳,数据分析师,华彬快速消费品投资管理有限公司,1000-9999人,外商独资,6千-8千,本科,数据分析 ,1-3年
8,深圳-福田区,数据分析师,深圳市品质消费研究院,20-99人,其它,8千-1万,本科,数据分析 ,3-5年
9,深圳,数据分析师,深圳市远彬科技有限公司,100-299人,股份制企业,7千-1.4万,大专,数据分析 需求分析 Python 数据挖掘 数据清洗 BI MySQL 大数据分析 ,不限
10,深圳,数据分析师,翰竺科技(北京)有限公司,100-299人,外商独资,1万-1.5万,本科,Python SQL ,不限
11,深圳,数据分析师,艾美特电器(深圳)有限公司,1000-9999人,外商独资,8千-1万,学历不限,需求分析 MySQL 透视图 ORCLE ,1-3年
12,深圳-龙岗区,数据分析师（双休）,深圳市鑫泽源创新技术有限公司,100-299人,民营,5千-8千,大专,数据分析 大数据分析 数据监控 ,1年以下
13,深圳-宝安区,数据分析师助理双休底薪6000,深圳市思创达贸易有限公司,20-99人,民营,6千-8千,大专,office ,不限
14,深圳-龙华区,数据分析师/销售数据分析,深圳桑椹电子商务有限公司,100-299人,民营,1万-1.5万,大专,统计学 数据分析 销售业务数据 数据专员 数据 电商数据分析 销售数据分析 ,3-5年
15,深圳,数据分析师/本科以上/高薪,深圳市远彬科技有限公司,100-299人,股份制企业,7千-1.4万,本科,数据挖掘 SQL Python 数据建模 需求分析 行业分析 商业分析 数据采集 ,不限
16,深圳,数据业务分析师,宝能物流集团有限公司,1000-9999人,民营,面议,本科,数据分析 ,5-10年
17,深圳,数据分析师（双休+六险一金）,深圳市友联创科技有限公司,100-299人,民营,6千-8千,本科,数据分析 数据仓库 ,不限
18,深圳-福田区,数据分析师/IPO企业,小熊U租,500-999人,民营,1万-1.5万,本科,数据分析 需求分析 SQL Python ,1-3年
19,深圳-宝安区,数据分析师,鼎盛动力,100-299人,民营,1.2万-1.8万,本科,数据分析 Python SQL SPS MATLAB ,1-3年
20,深圳,8K数据分析师（五险一金+包住）,深圳市尚利科技有限公司,100-299人,民营,8千-1万,大专,数据分析 数据清洗 ,1-3年
21,深圳-南山区,数据分析师,深圳市慧择保险经纪有限公司,1000-9999人,民营,1万-1.5万,本科,数据分析 Python SQL SQL Server ,无经验
22,深圳-南山区,数据分析师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1万-1.5万,本科,SQL Python 数据清洗 数据分析 Pandas MySQL Hadoop ,1-3年
