,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,西安-雁塔区,数据分析师,贝壳找房,10000人以上,上市公司,8千-1.2万,本科,Tableau SQL 大数据分析 ,3-5年
1,西安,数据分析师,陕西鸿信会计师事务所有限责任公司,100-299人,其它,5千-8千,大专,数据分析 SQL ,不限
2,西安,BI大数据分析师,陕西安源科技有限公司,20-99人,股份制企业,1.5万-2万,硕士,BI ,5-10年
3,西安,美团数据分析师,西安望唐商贸集团有限公司,500-999人,民营,4千-6千,大专,数据分析 大数据平台 商业数据分析 ,1-3年
4,西安,数据分析师助理,陕西华源达航科技有限公司,20-99人,民营,6千-7千,大专,数据分析 ,不限
5,西安,数据分析师,普联软件股份有限公司,1000-9999人,股份制企业,9千-1.8万,本科,Tableau FINEBI PLSQL Pandas Sklearn ,1-3年
6,西安-未央区,数据分析师/专员,苏州人瑞永道人力资源服务有限公司,不限,不限,5千-7千,本科,数据分析 大数据分析 ,不限
7,西安,数据分析师,西安新智云时代信息科技有限公司,20-99人,民营,6千-8千,大专,数据分析 Python Hadoop SQL 数据架构 数据采集 ,不限
8,西安-未央区,数据分析师,魔方网聘(北京)科技有限公司西安分公司,20人以下,民营,6千-8千,大专,MySQL ,不限
9,西安-经济技术开发区,数据分析师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1.2万-2.4万,本科,数据分析 ,3-5年
10,西安-高新技术产业开发区,数据分析师,荣信教育文化产业...,100-299人,民营,5千-6千,本科,数据分析 行业分析 ,1-3年
11,西安,数据分析师,西安博文同创信息技术有限公司,20-99人,其它,9千-1.4万,大专,数据分析 数据挖掘 Spark Hadoop ,3-5年
12,西安-碑林区,数据分析师/数据分析专员,贝壳找房,10000人以上,上市公司,5千-7千,本科,数据采集 数据挖掘 需求分析 数据统计 数据分析 ,1-3年
13,西安,数据分析师,西安石料帮网络科技有限公司,20-99人,民营,8千-1.2万,本科,数据分析 数据建模 SPSS SQL 商业数据分析 ,3-5年
14,西安,数据分析师,中研智业集团股份有限公司,20-99人,民营,5千-6千,本科,数据分析 ,1年以下
15,西安-莲湖区,金融数据分析师6-8k,人瑞人力资源服务,1000-9999人,民营,6千-8千,大专,数据分析 ,不限
16,西安-雁塔区,数据分析师,易宝软件,1000-9999人,上市公司,1万-1.5万,本科,数据分析 数据挖掘 Python BI ,3-5年
17,西安,数据分析师,西安远眺网络科技有限公司,100-299人,民营,9千-1.2万,本科,数据分析 Python 数据清洗 SPSS SQL 数据监控 大数据分析 行业分析 ,1-3年
18,西安,数据分析师（电网/能源）,美林数据技术股份有限公司,500-999人,股份制企业,8千-1.6万,本科,数据挖掘 Python 数据建模 ,1-3年
19,西安-雁塔区,大区数据分析师/百年行直聘,西安百年行房地产营销策划有限公司,1000-9999人,民营,6千-8千,本科,数据分析 房产数据分析 行业分析 ,不限
20,西安-高新技术产业开发区,数据分析师,中软国际,10000人以上,上市公司,面议,本科,BI 数据分析 数据清洗 ,3-5年
21,西安,高级数据分析师,西安开天电气,100-299人,合资,7千-8千,本科,数据分析 SPSS SQL 大数据分析 ,3-5年
22,西安-曲江新区,金融数据分析师6-8k,人瑞人力资源服务,1000-9999人,民营,6千-8千,大专,数据分析 ,不限
23,西安,数据分析师,陕西博运安商贸有限责任公司,20-99人,民营,6千-8千,大专,大数据平台 数据分析 ,不限
24,西安-高新技术产业开发区,数据分析师,易宝软件,1000-9999人,上市公司,1.5万-2万,本科,数据分析 Python 数据清洗 BI 数据建模 数据仓库 ,5-10年
25,西安,数据分析师,亚信科技(中国)有限公司,10000人以上,民营,6千-8千,本科,数据分析 ,1-3年
26,西安-高新技术产业开发区,房产数据分析师/百年行直聘,西安百年行房地产营销策划有限公司,1000-9999人,民营,4千-6千,大专,数据分析 数据架构 ,不限
27,西安-新城区,金融数据分析师6-8k,人瑞人力资源服务,1000-9999人,民营,6千-8千,大专,数据分析 ,不限
28,西安,地理数据分析师,西安曲江智造文化旅游产业股份有限公司,20-99人,上市公司,7千-9千,本科,数据分析 数据建模 数据采集 数据治理 大数据平台 ,1-3年
29,西安-高新技术产业开发区,高级数据分析师,北京迈道科技有限公司,20-99人,民营,1.5万-2万,本科,数据分析 数据挖掘 MySQL ,5-10年
30,西安-雁塔区,数据分析师,亚信科技(中国)有限公司,10000人以上,民营,6千-8千,本科,数据分析 数据挖掘 ,1-3年
31,西安-高新技术产业开发区,高级市场数据分析师,炬光科技,500-999人,股份制企业,1万-1.5万,本科,数据分析 行业分析 商业数据分析 ,3-5年
32,西安-高新技术产业开发区,8—12k大数据分析师,北京华云数通科技有限公司,20-99人,民营,8千-1万,大专,数据分析 SQL BI 数据建模 大数据分析 ,1年以下
33,西安-雁塔区,数据分析师（非建模）,亚信科技(中国)有限公司,10000人以上,民营,2.5千-2.8千,本科,Python 数据分析 ,无经验
34,西安-莲湖区,数据分析师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,8千-1.4万,本科,office ,1-3年
