,city,position,company_name,company_size,company_type,salary,education,ability,experience
0,重庆,数据分析师,重庆大数据研究院有限公司,20-99人,民营,1万-1.5万,本科,MySQL数据库 Hadoop UNIX/LINUX SQL 机器学习算法 数据仓库架构设计 ,3-5年
1,重庆,数据分析师,重庆迭今网络科技有限公司,20-99人,民营,6千-8千,本科,数据分析 数据挖掘 Python 数据清洗 SQL ,1-3年
2,重庆,数据分析师/商业分析师,重庆百计信用管理有限公司,20-99人,民营,1万-1.5万,本科,数据分析 商业分析 R语言 MATLAB SQL 行业分析 ,1-3年
3,重庆,数据分析师/专员,人瑞人力资源服务济南分公司,1000-9999人,民营,5千-7千,本科,数据分析 行业分析 商业数据分析 需求分析 ,不限
4,重庆,数据分析师,中国平安人寿保险股份有限公司重庆市江北支公司,10000人以上,股份制企业,4千-6千,大专,数据分析 ,不限
5,重庆-渝北区,数据分析师,贝壳找房（重庆）,10000人以上,上市公司,7千-1.2万,本科,数据分析 SQL ,3-5年
6,重庆-江北区,数据分析师,成都七彩树网络科技有限公司,20-99人,民营,1万-1.5万,本科,数据分析 Python ,1-3年
7,重庆,数据分析师（亚马逊）,重庆秘毓电子商务有限公司,20-99人,民营,7千-1.4万,本科,Python 数据挖掘 数据分析 数据采集 爬虫 数据建模 ,不限
8,重庆,数据分析师,浪潮集团,10000人以上,国企,4千-8千,本科,数据分析 Python R语言 VBA ,3-5年
9,重庆,数据分析师,重庆复腾网络游戏有限公司,20-99人,民营,6千-1.2万,大专,数据分析 ,不限
10,重庆-渝北区,数据分析师/贝壳找房,贝壳找房（重庆）,10000人以上,上市公司,6千-8千,本科,数据分析 Python SQL ,1-3年
11,重庆-渝北区,数据分析师（贝壳）,贝壳找房,10000人以上,上市公司,6千-8千,本科,数据分析 ,1-3年
12,重庆-渝北区,数据分析师（2021届校招实习）,南京迈特望,1000-9999人,股份制企业,2千-4千,本科,数据分析 SQL BI ,无经验
13,重庆,数据分析师,中国平安人寿保险股份有限公司重庆市江北支公司五里店营业部(人事总部),1000-9999人,股份制企业,5千-7.5千,大专,数据分析 需求分析 数据挖掘 商业分析 行业分析 ,1-3年
14,重庆-渝中区,数据分析师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,6千-1万,大专,数据分析 ,1-3年
15,重庆-江北区,数据分析师,中国平安人寿保险股份有限公司重庆市江北支公司售后人事部,10000人以上,民营,5千-9千,大专,数据分析 数据仓库 MySQL Oracle SQL Server 行业分析 SQL 大数据平台 ,不限
16,重庆,数据分析师,重庆左岸环境服务股份有限公司,1000-9999人,民营,6千-9千,本科,数据分析 数据建模 SQL Python ,1-3年
17,重庆,金融数据分析师,中国平安人寿保险股份有限公司重庆市江北支公司,10000人以上,股份制企业,4千-6千,大专,风险控制 数据分析 风险审核 金融 ,不限
18,重庆,（高级）商业数据分析师,重庆小租网络科技有限公司,500-999人,民营,1.8万-2.8万,本科,商业分析 SQL 数据建模 行业分析 数据挖掘 ,5-10年
19,重庆,数据管理分析师,德勤华庆商务服务有限公司,10000人以上,合资,4.5千-7千,本科,商业分析 数据采集 excel 统计 数据清洗 ,不限
20,重庆,金融数据分析师,重庆嘉瑞澳科技有限公司,20-99人,民营,1万-1.5万,大专,分析师 投资 理财 ,不限
21,重庆,数据分析师,重庆市深联电子信息有限公司,100-299人,民营,7千-1.3万,大专,SQL 大数据平台 MySQL 数据分析 SQL Server 数据监控 ,1-3年
22,重庆,数据分析师,北京字节跳动科技有限公司,10000人以上,民营,1.5万-3万,本科,,3-5年
23,重庆-渝北区,数据分析师（建模）,北京瀚华管理咨询有限公司,1000-9999人,民营,1万-1.5万,本科,数据分析 Python 数据建模 机器学习 决策树 神经网络 回归分析 模型设计 ,3-5年
24,重庆-沙坪坝区,数据分析师,重庆云链数智软件科技有限公司,20-99人,民营,8千-1.2万,本科,数据清洗 数据建模 人工智能 MySQL Hive Python ,3-5年
25,重庆,环保数据分析师,重庆广睿达科技有限公司,20-99人,民营,4千-8千,大专,大气 大气污染 化学 ,不限
26,重庆,金融数据分析师,中国平安人寿保险股份有限公司重庆市江北支公司(钻石部),10000人以上,股份制企业,4千-6千,高中,数据分析 ,1-3年
27,重庆-渝北区,数据分析师（医疗方向）,重庆博恩富克医疗设备有限公司,100-299人,民营,6千-1万,本科,数据建模 数据库构建 数据挖掘 ,不限
28,重庆,数据分析师,国信优易数据股份有限公司,1000-9999人,股份制企业,6千-1.2万,本科,数据分析 SPSS Spark Scala ,3-5年
